C_optimal,Error
2e-14,17606233.16204129
2e-15,20322187.813336723
2e-15,20312250.03078726
2e-15,20330148.934227265
2e-15,20327581.216330096
2e-15,20322114.62124793
2e-15,20316943.111310262
2e-15,20327916.252335392
2e-15,20315548.774061702
2e-15,20321888.720272575
2e-15,20317094.13180031
2e-15,20328168.343548287
2e-15,20316071.063708216
2e-15,20321946.89277123
2e-15,20317442.184774604
2e-15,20329885.28548541
